timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2025-03-29 16:00:00,82396.3800000000,82658.9500000000,82140.6300000000,82164.6100000000,217.1189812700,-1.5876234600,0.9973509900,0.0023844800,6.8220767200,0.0000003400
2025-03-29 17:00:00,82164.6000000000,82591.5000000000,81608.9900000000,82315.1400000000,306.1858602500,-218.0016959700,0.9994028100,0.0021802000,6.8220767200,0.0000003400
2025-03-29 18:00:00,82315.1300000000,82654.9900000000,82194.6400000000,82322.1700000000,134.9112796500,68.1017234400,0.9998183700,0.0018515300,6.8220767200,0.0000003400
2025-03-29 19:00:00,82322.7800000000,82728.1200000000,82168.1700000000,82727.5800000000,180.3734209800,-46.8582587900,0.7516598600,0.0010037200,6.8220767200,0.0000003400
2025-03-29 20:00:00,82727.5800000000,82757.3200000000,82398.0000000000,82482.4200000000,117.8927768500,436.6581416700,0.9881709600,0.0011339800,6.8220767200,0.0000003400
2025-03-29 21:00:00,82482.4100000000,82663.0400000000,82320.0600000000,82476.1500000000,75.9744508500,-9.0791584000,0.9955222800,0.0004543300,6.8220767200,0.0000003400
2025-03-29 22:00:00,82476.1500000000,82496.4500000000,82225.7900000000,82369.8300000000,59.6073730200,18.1478999700,0.9995101200,0.0002409700,6.8220767200,0.0000003400
2025-03-29 23:00:00,82369.8300000000,82659.7400000000,82305.0900000000,82616.8300000000,46.1221248200,-60.5527429600,0.9992405300,0.0001891500,6.8220767200,0.0000003400
2025-03-30 00:00:00,82624.0600000000,82867.1400000000,82462.1800000000,82765.3200000000,108.2735221700,59.3374948000,0.9998140700,0.0002446800,10.7647538900,0.0000005400
2025-03-30 01:00:00,82770.4500000000,83051.3200000000,82725.2300000000,82917.2600000000,115.2467193900,-116.9860675800,0.9925598800,0.0002010500,10.7647538900,0.0000005400
2025-03-30 02:00:00,82918.7200000000,83354.4500000000,82897.6500000000,83301.8000000000,130.8940970100,128.6798631300,0.9999236900,-0.0004331700,10.7647538900,0.0000005400
2025-03-30 03:00:00,83299.1700000000,83489.1900000000,83021.4500000000,83071.9200000000,112.4111564500,-167.7776516500,0.9473374500,-0.0008032200,10.7647538900,0.0000005400
2025-03-30 04:00:00,83069.3600000000,83297.1500000000,83046.5600000000,83097.6300000000,57.3365876000,369.3070316000,0.9999659600,-0.0004781300,10.7647538900,0.0000005400
2025-03-30 05:00:00,83097.6200000000,83209.7900000000,82900.0000000000,82941.7100000000,41.3668113100,7.7981804900,0.9998314600,0.0007506300,10.7647538900,0.0000005400
2025-03-30 06:00:00,82941.7000000000,83280.0900000000,82825.2100000000,83172.2800000000,66.6356438500,3.4503679500,0.9992873500,0.0014591300,10.7647538900,0.0000005400
2025-03-30 07:00:00,83169.1700000000,83302.0500000000,83040.5500000000,83054.7700000000,34.3682496700,-110.2763579000,0.9992282100,0.0011908300,10.7647538900,0.0000005400
